Date,Sales
2023-01-01,463
2023-01-02,229
2023-01-03,197
2023-01-04,330
2023-01-05,278
2023-01-06,440
2023-01-07,424
2023-01-08,230
2023-01-09,136
2023-01-10,500
2023-01-11,102
2023-01-12,429
2023-01-13,120
2023-01-14,241
2023-01-15,484
2023-01-16,147
2023-01-17,130
2023-01-18,436
2023-01-19,475
2023-01-20,332
2023-01-21,181
2023-01-22,390
2023-01-23,316
2023-01-24,344
2023-01-25,260
2023-01-26,232
2023-01-27,115
2023-01-28,133
2023-01-29,428
2023-01-30,494
2023-01-31,164
2023-02-01,450
2023-02-02,177
2023-02-03,454
2023-02-04,440
2023-02-05,114
2023-02-06,184
2023-02-07,198
2023-02-08,340
2023-02-09,258
2023-02-10,342
2023-02-11,489
2023-02-12,270
2023-02-13,268
2023-02-14,424
2023-02-15,482
2023-02-16,322
2023-02-17,346
2023-02-18,282
2023-02-19,485
2023-02-20,273
2023-02-21,368
2023-02-22,388
2023-02-23,414
2023-02-24,206
2023-02-25,328
2023-02-26,171
2023-02-27,240
2023-02-28,316
2023-03-01,238
2023-03-02,393
2023-03-03,123
2023-03-04,480
2023-03-05,319
2023-03-06,400
2023-03-07,456
2023-03-08,208
2023-03-09,409
2023-03-10,167
2023-03-11,116
2023-03-12,149
2023-03-13,247
2023-03-14,206
2023-03-15,496
2023-03-16,481
2023-03-17,422
2023-03-18,128
2023-03-19,390
2023-03-20,100
2023-03-21,240
2023-03-22,292
2023-03-23,193
2023-03-24,343
2023-03-25,462
2023-03-26,255
2023-03-27,276
2023-03-28,411
2023-03-29,404
2023-03-30,191
2023-03-31,416
2023-04-01,193
2023-04-02,433
2023-04-03,492
2023-04-04,244
2023-04-05,252
2023-04-06,275
2023-04-07,473
2023-04-08,449
2023-04-09,352
2023-04-10,159
2023-04-11,375
2023-04-12,494
2023-04-13,115
2023-04-14,277
2023-04-15,311
2023-04-16,365
2023-04-17,211
2023-04-18,135
2023-04-19,122
2023-04-20,406
2023-04-21,467
2023-04-22,329
2023-04-23,262
2023-04-24,247
2023-04-25,383
2023-04-26,120
2023-04-27,158
2023-04-28,163
2023-04-29,115
2023-04-30,413
2023-05-01,311
2023-05-02,261
2023-05-03,324
2023-05-04,356
2023-05-05,125
2023-05-06,115
2023-05-07,264
2023-05-08,362
2023-05-09,373
2023-05-10,459
2023-05-11,151
